Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0020,8.159,62,7.598970462,A,h
BF0020,2.714,22,8.106116433,A,h
BF0020,7.799,56,7.180407745,A,h
BF0020,15.299,109,7.12464867,A,h
BF0020,23.234,166,7.14470173,A,h
BF0020,12.263,92,7.502242518,A,h
BF0020,18.388,138,7.504894496,A,h
BF0020,14.359,106,7.382129675,A,h
BF0020,12.089,89,7.362064687,A,h
BF0020,18.584,132,7.102884201,A,h
BF0020,24.297,185,7.614108738,A,h
BF0020,10.423,78,7.483450062,A,h
BF0020,19.537,138,7.0635205,A,h
BF0020,18.446,138,7.481296758,A,h
BF0020,3.492,25,7.159221077,A,h
BF0024,1.146,11,9.598603839,A,h
BF0024,9.087,70,7.703312424,A,h
BF0024,9.314,74,7.945028989,A,h
BF0024,2.662,23,8.64012021,A,h
BF0024,9.611,76,7.907605868,A,h
BF0024,3.927,31,7.894066718,A,h
BF0024,10.452,84,8.03673938,A,h
BF0024,9.726,80,8.225375283,A,h
BF0024,2.769,22,7.945106537,A,h
BF0024,16.907,122,7.215946058,A,h
BF0024,7.119,57,8.00674252,A,h
BF0024,9.778,75,7.670280221,A,h
BF0024,7.021,51,7.263922518,A,h
BF0024,4.391,34,7.743110909,A,h
BF0024,6.15,45,7.317073171,A,h
BF0024,7.967,63,7.907618928,A,h
BF0024,15.119,116,7.67246511,A,h
BF0024,5.855,49,8.368915457,A,h
BF0024,7.805,62,7.943625881,A,h
BF0024,7.306,54,7.391185327,A,h
BF0007,8.896,86,9.667266187,A,h
BF0007,9.146,85,9.293680297,A,h
BF0007,9.366,80,8.541533205,A,h
BF0007,9.796,82,8.370763577,A,h
BF0007,9.657,88,9.112560837,A,h
BF0007,4.269,41,9.604122745,A,h
BF0007,8.31,73,8.784596871,A,h
BF0007,10.266,101,9.838301188,A,h
BF0007,11.276,107,9.48918056,A,h
BF0007,9.314,89,9.555507838,A,h
BF0007,14.324,127,8.866238481,A,h
BF0007,10.348,93,8.987243912,A,h
BF0007,10.208,95,9.306426332,A,h
BF0007,6.917,66,9.541708833,A,h
BF0007,12.681,112,8.832111032,A,h
BF0007,9.314,90,9.662873094,A,h
BF0007,12.431,116,9.331509935,A,h
BF0007,9.279,82,8.837159177,A,h
BF0007,9.523,88,9.240785467,A,h
BF0007,7.906,74,9.359979762,A,h
BF0008,11.958,75,6.271951831,A,h
BF0008,11.073,65,5.870134562,A,h
BF0008,12.695,73,5.750295392,A,h
BF0008,27.147,149,5.488635945,A,h
BF0008,12.13,70,5.770816158,A,h
BF0008,8.154,48,5.886681383,A,h
BF0008,9.552,56,5.862646566,A,h
BF0008,9.697,57,5.878106631,A,h
BF0008,15.607,90,5.766643173,A,h
BF0008,9.221,52,5.639301594,A,h
BF0008,3.096,20,6.45994832,A,h
BF0008,8.42,52,6.175771971,A,h
BF0008,11.224,64,5.702066999,A,h
BF0008,11.241,61,5.426563473,A,h
BF0008,12.605,71,5.632685442,A,h
BF0008,11.096,68,6.128334535,A,h
BF0008,13.772,78,5.663665408,A,h
BF0008,3.468,20,5.767012687,A,h
BF0008,11.439,65,5.682314888,A,h
BF0008,4.147,23,5.54617796,A,h
